ID,geneName,bioType,chromosome,start,stop,strand,baseMean,log2FoldChange,lfcSE,pvalue,padj,fullDescription
ENSG00000214548,MEG3,lncRNA,14,100779410,100861031,+,4482.60562020624,-16.552511071535,3.62919649004655,1.17382149053665e-26,1.35802557517355e-25,gene_id "ENSG00000214548"; gene_version "18"; gene_name "MEG3"; gene_source "ensembl_havana"; gene_biotype "lncRNA";
ENSG00000117115,PADI2,protein_coding,1,17066761,17119451,-,3881.69312955144,-16.254622520372,3.60099603968991,9.05740634471815e-26,1.01232095324072e-24,gene_id "ENSG00000117115"; gene_version "13"; gene_name "PADI2"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000171345,KRT19,protein_coding,17,41523617,41528308,-,18153.6976281005,-14.8524825490915,0.988724645625839,6.56438111809695e-48,1.61334121220627e-46,gene_id "ENSG00000171345"; gene_version "13"; gene_name "KRT19"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000006210,CX3CL1,protein_coding,16,57372477,57385044,+,1136.48108539513,-14.396776841489,3.41285642779992,1.10850575768478e-20,9.7988934234103e-20,gene_id "ENSG00000006210"; gene_version "7"; gene_name "CX3CL1"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000169594,BNC1,protein_coding,15,83255903,83284714,-,528.628056580986,14.0455679526226,2.98529626678022,2.62566659563571e-27,3.10433373124089e-26,gene_id "ENSG00000169594"; gene_version "13"; gene_name "BNC1"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000167641,PPP1R14A,protein_coding,19,38251237,38256532,-,932.778266237217,-13.8383513712389,3.39436023779374,9.86774750777444e-18,7.49626417815139e-17,gene_id "ENSG00000167641"; gene_version "11"; gene_name "PPP1R14A"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000244734,HBB,protein_coding,11,5225464,5229395,-,963.20094275484,-13.6724906709345,3.34042612708362,9.82619724603121e-19,7.91793548127558e-18,gene_id "ENSG00000244734"; gene_version "4"; gene_name "HBB"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000164283,ESM1,protein_coding,5,54977867,55022671,-,3606.56273397268,13.5434088685891,1.29574843610732,3.71976125140319e-31,5.15012128426908e-30,gene_id "ENSG00000164283"; gene_version "13"; gene_name "ESM1"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000119535,CSF3R,protein_coding,1,36466043,36483278,-,527.938062752119,-13.4649802606646,3.37690382975992,3.08690469693175e-16,2.16475809275962e-15,gene_id "ENSG00000119535"; gene_version "17"; gene_name "CSF3R"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000163220,S100A9,protein_coding,1,153357854,153361023,+,542.486536006538,-13.2873443738676,3.30149678243814,9.47382710983067e-18,7.20162684499532e-17,gene_id "ENSG00000163220"; gene_version "11"; gene_name "S100A9"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000042062,RIPOR3,protein_coding,20,50586108,50691542,-,598.007422064373,-13.2747310590104,3.29605097512992,7.09957260657164e-18,5.45097324409387e-17,gene_id "ENSG00000042062"; gene_version "13"; gene_name "RIPOR3"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000167785,ZNF558,protein_coding,19,8806170,8832314,-,532.363667255793,-13.2677616217359,3.29376170616823,6.96689568321471e-18,5.35430540890484e-17,gene_id "ENSG00000167785"; gene_version "9"; gene_name "ZNF558"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000188848,BEND4,protein_coding,4,42110853,42152878,-,403.258989495471,13.1900272020725,2.8183805518018,1.1298567526358e-24,1.2065201531861e-23,gene_id "ENSG00000188848"; gene_version "16"; gene_name "BEND4"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000170561,IRX2,protein_coding,5,2745845,2751677,-,279.614451432301,13.1199835234804,2.94353427449009,1.23979088574784e-23,1.26143802819741e-22,gene_id "ENSG00000170561"; gene_version "13"; gene_name "IRX2"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000047457,CP,protein_coding,3,149162410,149221829,-,488.39187434299,-13.0135658102212,3.26728856863805,2.67935695814742e-17,1.99017566477865e-16,gene_id "ENSG00000047457"; gene_version "14"; gene_name "CP"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000162747,FCGR3B,protein_coding,1,161623196,161631963,-,407.073591745746,-12.9852479583162,3.29235166023837,2.76132598930337e-16,1.94275789048674e-15,gene_id "ENSG00000162747"; gene_version "11"; gene_name "FCGR3B"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000151388,ADAMTS12,protein_coding,5,33523535,33892019,-,329.374945866691,12.9713390659846,2.916685045522,2.0982651570864e-23,2.11764062683482e-22,gene_id "ENSG00000151388"; gene_version "11"; gene_name "ADAMTS12"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000204644,ZFP57,protein_coding,6,29672392,29681110,-,239.984136921902,12.8081719440553,2.79942501716234,3.34906961183084e-23,3.34441616773861e-22,gene_id "ENSG00000204644"; gene_version "9"; gene_name "ZFP57"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000005001,PRSS22,protein_coding,16,2852730,2858170,-,451.331696287877,-12.8041076342255,3.24473729150581,8.0970213941161e-17,5.87671652522102e-16,gene_id "ENSG00000005001"; gene_version "10"; gene_name "PRSS22"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
ENSG00000198848,CES1,protein_coding,16,55802851,55833337,-,407.314420946683,-12.8003421063879,3.2466048957525,9.90357697746795e-17,7.15234881774078e-16,gene_id "ENSG00000198848"; gene_version "12"; gene_name "CES1"; gene_source "ensembl_havana"; gene_biotype "protein_coding";
